trade_date,symbol,close,open,high,low
2024-01-02,STK001,164.0676,164.0676,164.0676,164.0676
2024-01-03,STK001,170.4391,170.4391,170.4391,170.4391
2024-01-04,STK001,172.9837,172.9837,172.9837,172.9837
2024-01-05,STK001,170.3102,170.3102,170.3102,170.3102
2024-01-08,STK001,174.9777,174.9777,174.9777,174.9777
2024-01-09,STK001,172.3977,172.3977,172.3977,172.3977
2024-01-10,STK001,165.186,165.186,165.186,165.186
2024-01-11,STK001,166.8075,166.8075,166.8075,166.8075
2024-01-12,STK001,161.5911,161.5911,161.5911,161.5911
2024-01-15,STK001,160.9428,160.9428,160.9428,160.9428
2024-01-16,STK001,162.3891,162.3891,162.3891,162.3891
2024-01-17,STK001,165.7191,165.7191,165.7191,165.7191
2024-01-18,STK001,169.3187,169.3187,169.3187,169.3187
2024-01-19,STK001,170.6748,170.6748,170.6748,170.6748
2024-01-22,STK001,170.8705,170.8705,170.8705,170.8705
2024-01-23,STK001,168.5418,168.5418,168.5418,168.5418
2024-01-24,STK001,168.7962,168.7962,168.7962,168.7962
2024-01-25,STK001,163.8496,163.8496,163.8496,163.8496
2024-01-26,STK001,171.5118,171.5118,171.5118,171.5118
2024-01-29,STK001,164.1128,164.1128,164.1128,164.1128
2024-01-30,STK001,163.4518,163.4518,163.4518,163.4518
2024-01-31,STK001,159.8524,159.8524,159.8524,159.8524
2024-02-01,STK001,158.2609,158.2609,158.2609,158.2609
2024-02-02,STK001,156.139,156.139,156.139,156.139
2024-02-05,STK001,153.3545,153.3545,153.3545,153.3545
2024-02-06,STK001,156.2407,156.2407,156.2407,156.2407
2024-02-07,STK001,157.6961,157.6961,157.6961,157.6961
2024-02-08,STK001,156.4774,156.4774,156.4774,156.4774
2024-02-09,STK001,153.2007,153.2007,153.2007,153.2007
2024-02-12,STK001,157.3696,157.3696,157.3696,157.3696
2024-02-13,STK001,161.6658,161.6658,161.6658,161.6658
2024-02-14,STK001,157.5452,157.5452,157.5452,157.5452
2024-02-15,STK001,155.2331,155.2331,155.2331,155.2331
2024-02-16,STK001,156.6577,156.6577,156.6577,156.6577
2024-02-19,STK001,156.9123,156.9123,156.9123,156.9123
2024-02-20,STK001,153.0658,153.0658,153.0658,153.0658
2024-02-21,STK001,155.8935,155.8935,155.8935,155.8935
2024-02-22,STK001,153.3247,153.3247,153.3247,153.3247
2024-02-23,STK001,158.8336,158.8336,158.8336,158.8336
2024-02-26,STK001,160.9796,160.9796,160.9796,160.9796
2024-02-27,STK001,157.9311,157.9311,157.9311,157.9311
2024-02-28,STK001,155.6236,155.6236,155.6236,155.6236
2024-02-29,STK001,152.1632,152.1632,152.1632,152.1632
2024-03-01,STK001,153.292,153.292,153.292,153.292
2024-03-04,STK001,152.7484,152.7484,152.7484,152.7484
2024-03-05,STK001,149.1904,149.1904,149.1904,149.1904
2024-03-06,STK001,143.0651,143.0651,143.0651,143.0651
2024-03-07,STK001,146.7102,146.7102,146.7102,146.7102
2024-03-08,STK001,148.4676,148.4676,148.4676,148.4676
2024-03-11,STK001,148.6118,148.6118,148.6118,148.6118
2024-03-12,STK001,148.687,148.687,148.687,148.687
2024-03-13,STK001,147.6559,147.6559,147.6559,147.6559
2024-03-14,STK001,147.2622,147.2622,147.2622,147.2622
2024-03-15,STK001,158.4047,158.4047,158.4047,158.4047
2024-03-18,STK001,162.2123,162.2123,162.2123,162.2123
2024-03-19,STK001,163.0584,163.0584,163.0584,163.0584
2024-03-20,STK001,160.9076,160.9076,160.9076,160.9076
2024-03-21,STK001,151.8158,151.8158,151.8158,151.8158
2024-03-22,STK001,154.9607,154.9607,154.9607,154.9607
2024-03-25,STK001,157.9259,157.9259,157.9259,157.9259
2024-03-26,STK001,156.8205,156.8205,156.8205,156.8205
2024-03-27,STK001,152.2819,152.2819,152.2819,152.2819
2024-03-28,STK001,149.3201,149.3201,149.3201,149.3201
2024-03-29,STK001,150.4598,150.4598,150.4598,150.4598
2024-04-01,STK001,150.2916,150.2916,150.2916,150.2916
2024-04-02,STK001,154.077,154.077,154.077,154.077
2024-04-03,STK001,153.7233,153.7233,153.7233,153.7233
2024-04-04,STK001,157.8936,157.8936,157.8936,157.8936
2024-04-05,STK001,159.1054,159.1054,159.1054,159.1054
2024-04-08,STK001,162.5094,162.5094,162.5094,162.5094
2024-04-09,STK001,154.6461,154.6461,154.6461,154.6461
2024-04-10,STK001,149.3781,149.3781,149.3781,149.3781
2024-04-11,STK001,147.8921,147.8921,147.8921,147.8921
2024-04-12,STK001,151.8717,151.8717,151.8717,151.8717
2024-04-15,STK001,158.579,158.579,158.579,158.579
2024-04-16,STK001,159.7132,159.7132,159.7132,159.7132
2024-04-17,STK001,158.5609,158.5609,158.5609,158.5609
2024-04-18,STK001,151.6132,151.6132,151.6132,151.6132
2024-04-19,STK001,153.99,153.99,153.99,153.99
2024-04-22,STK001,151.1967,151.1967,151.1967,151.1967
2024-04-23,STK001,163.8433,163.8433,163.8433,163.8433
2024-04-24,STK001,159.9332,159.9332,159.9332,159.9332
2024-04-25,STK001,168.0795,168.0795,168.0795,168.0795
2024-04-26,STK001,171.5319,171.5319,171.5319,171.5319
2024-04-29,STK001,167.076,167.076,167.076,167.076
2024-04-30,STK001,166.933,166.933,166.933,166.933
2024-05-01,STK001,169.1619,169.1619,169.1619,169.1619
2024-05-02,STK001,167.7089,167.7089,167.7089,167.7089
2024-05-03,STK001,170.2974,170.2974,170.2974,170.2974
2024-05-06,STK001,175.1783,175.1783,175.1783,175.1783
2024-05-07,STK001,177.7097,177.7097,177.7097,177.7097
2024-05-08,STK001,177.0873,177.0873,177.0873,177.0873
2024-05-09,STK001,172.3731,172.3731,172.3731,172.3731
2024-05-10,STK001,172.9099,172.9099,172.9099,172.9099
2024-05-13,STK001,173.3,173.3,173.3,173.3
2024-05-14,STK001,166.7453,166.7453,166.7453,166.7453
2024-05-15,STK001,166.0521,166.0521,166.0521,166.0521
2024-05-16,STK001,167.0546,167.0546,167.0546,167.0546
2024-05-17,STK001,161.9965,161.9965,161.9965,161.9965
2024-05-20,STK001,160.7375,160.7375,160.7375,160.7375
2024-05-21,STK001,158.8691,158.8691,158.8691,158.8691
2024-05-22,STK001,164.8653,164.8653,164.8653,164.8653
2024-05-23,STK001,163.9381,163.9381,163.9381,163.9381
2024-05-24,STK001,167.1767,167.1767,167.1767,167.1767
2024-05-27,STK001,167.4446,167.4446,167.4446,167.4446
2024-05-28,STK001,159.0146,159.0146,159.0146,159.0146
2024-05-29,STK001,159.9464,159.9464,159.9464,159.9464
2024-05-30,STK001,156.545,156.545,156.545,156.545
2024-05-31,STK001,154.963,154.963,154.963,154.963
2024-06-03,STK001,150.8113,150.8113,150.8113,150.8113
2024-06-04,STK001,151.0029,151.0029,151.0029,151.0029
2024-06-05,STK001,155.9194,155.9194,155.9194,155.9194
2024-06-06,STK001,160.7359,160.7359,160.7359,160.7359
2024-06-07,STK001,169.0032,169.0032,169.0032,169.0032
2024-06-10,STK001,174.1218,174.1218,174.1218,174.1218
2024-06-11,STK001,164.772,164.772,164.772,164.772
2024-06-12,STK001,160.9706,160.9706,160.9706,160.9706
2024-06-13,STK001,153.6675,153.6675,153.6675,153.6675
2024-06-14,STK001,156.9194,156.9194,156.9194,156.9194
2024-06-17,STK001,154.6349,154.6349,154.6349,154.6349
2024-06-18,STK001,154.5604,154.5604,154.5604,154.5604
2024-06-19,STK001,154.9219,154.9219,154.9219,154.9219
2024-06-20,STK001,157.4968,157.4968,157.4968,157.4968
2024-06-21,STK001,151.5977,151.5977,151.5977,151.5977
2024-06-24,STK001,147.0523,147.0523,147.0523,147.0523
2024-06-25,STK001,146.8159,146.8159,146.8159,146.8159
2024-01-02,STK002,42.8385,42.8385,42.8385,42.8385
2024-01-03,STK002,43.0469,43.0469,43.0469,43.0469
2024-01-04,STK002,42.5447,42.5447,42.5447,42.5447
2024-01-05,STK002,41.2031,41.2031,41.2031,41.2031
2024-01-08,STK002,41.4211,41.4211,41.4211,41.4211
2024-01-09,STK002,41.1125,41.1125,41.1125,41.1125
2024-01-10,STK002,40.7091,40.7091,40.7091,40.7091
2024-01-11,STK002,39.2565,39.2565,39.2565,39.2565
2024-01-12,STK002,38.6195,38.6195,38.6195,38.6195
2024-01-15,STK002,38.2654,38.2654,38.2654,38.2654
2024-01-16,STK002,38.3706,38.3706,38.3706,38.3706
2024-01-17,STK002,38.4533,38.4533,38.4533,38.4533
2024-01-18,STK002,38.6058,38.6058,38.6058,38.6058
2024-01-19,STK002,38.2209,38.2209,38.2209,38.2209
2024-01-22,STK002,38.5071,38.5071,38.5071,38.5071
2024-01-23,STK002,38.0802,38.0802,38.0802,38.0802
2024-01-24,STK002,37.8734,37.8734,37.8734,37.8734
2024-01-25,STK002,38.2429,38.2429,38.2429,38.2429
2024-01-26,STK002,38.3192,38.3192,38.3192,38.3192
2024-01-29,STK002,37.8606,37.8606,37.8606,37.8606
2024-01-30,STK002,38.3588,38.3588,38.3588,38.3588
2024-01-31,STK002,38.8442,38.8442,38.8442,38.8442
2024-02-01,STK002,39.7572,39.7572,39.7572,39.7572
2024-02-02,STK002,38.1632,38.1632,38.1632,38.1632
2024-02-05,STK002,37.5678,37.5678,37.5678,37.5678
2024-02-06,STK002,37.7364,37.7364,37.7364,37.7364
2024-02-07,STK002,38.2781,38.2781,38.2781,38.2781
2024-02-08,STK002,38.645,38.645,38.645,38.645
2024-02-09,STK002,38.2471,38.2471,38.2471,38.2471
2024-02-12,STK002,37.412,37.412,37.412,37.412
2024-02-13,STK002,37.9944,37.9944,37.9944,37.9944
2024-02-14,STK002,38.4754,38.4754,38.4754,38.4754
2024-02-15,STK002,38.2814,38.2814,38.2814,38.2814
2024-02-16,STK002,39.2107,39.2107,39.2107,39.2107
2024-02-19,STK002,38.9472,38.9472,38.9472,38.9472
2024-02-20,STK002,38.0822,38.0822,38.0822,38.0822
2024-02-21,STK002,38.2657,38.2657,38.2657,38.2657
2024-02-22,STK002,38.2044,38.2044,38.2044,38.2044
2024-02-23,STK002,38.9094,38.9094,38.9094,38.9094
2024-02-26,STK002,39.1748,39.1748,39.1748,39.1748
2024-02-27,STK002,39.3241,39.3241,39.3241,39.3241
2024-02-28,STK002,39.8204,39.8204,39.8204,39.8204
2024-02-29,STK002,39.7235,39.7235,39.7235,39.7235
2024-03-01,STK002,39.5682,39.5682,39.5682,39.5682
2024-03-04,STK002,39.5677,39.5677,39.5677,39.5677
2024-03-05,STK002,39.9661,39.9661,39.9661,39.9661
2024-03-06,STK002,39.3962,39.3962,39.3962,39.3962
2024-03-07,STK002,39.8908,39.8908,39.8908,39.8908
2024-03-08,STK002,40.1697,40.1697,40.1697,40.1697
2024-03-11,STK002,39.6479,39.6479,39.6479,39.6479
2024-03-12,STK002,38.4352,38.4352,38.4352,38.4352
2024-03-13,STK002,38.9061,38.9061,38.9061,38.9061
2024-03-14,STK002,37.7574,37.7574,37.7574,37.7574
2024-03-15,STK002,38.1302,38.1302,38.1302,38.1302
2024-03-18,STK002,37.2511,37.2511,37.2511,37.2511
2024-03-19,STK002,37.1935,37.1935,37.1935,37.1935
2024-03-20,STK002,37.3136,37.3136,37.3136,37.3136
2024-03-21,STK002,37.7569,37.7569,37.7569,37.7569
2024-03-22,STK002,37.4331,37.4331,37.4331,37.4331
2024-03-25,STK002,36.9504,36.9504,36.9504,36.9504
2024-03-26,STK002,36.9762,36.9762,36.9762,36.9762
2024-03-27,STK002,37.3482,37.3482,37.3482,37.3482
2024-03-28,STK002,37.7017,37.7017,37.7017,37.7017
2024-03-29,STK002,37.8777,37.8777,37.8777,37.8777
2024-04-01,STK002,38.2979,38.2979,38.2979,38.2979
2024-04-02,STK002,38.6308,38.6308,38.6308,38.6308
2024-04-03,STK002,37.6773,37.6773,37.6773,37.6773
2024-04-04,STK002,37.5887,37.5887,37.5887,37.5887
2024-04-05,STK002,37.4965,37.4965,37.4965,37.4965
2024-04-08,STK002,37.2815,37.2815,37.2815,37.2815
2024-04-09,STK002,36.922,36.922,36.922,36.922
2024-04-10,STK002,36.7126,36.7126,36.7126,36.7126
2024-04-11,STK002,37.562,37.562,37.562,37.562
2024-04-12,STK002,37.4379,37.4379,37.4379,37.4379
2024-04-15,STK002,37.4204,37.4204,37.4204,37.4204
2024-04-16,STK002,37.4438,37.4438,37.4438,37.4438
2024-04-17,STK002,38.2667,38.2667,38.2667,38.2667
2024-04-18,STK002,38.7239,38.7239,38.7239,38.7239
2024-04-19,STK002,38.8052,38.8052,38.8052,38.8052
2024-04-22,STK002,39.087,39.087,39.087,39.087
2024-04-23,STK002,39.6025,39.6025,39.6025,39.6025
2024-04-24,STK002,39.1504,39.1504,39.1504,39.1504
2024-04-25,STK002,39.8939,39.8939,39.8939,39.8939
2024-04-26,STK002,40.296,40.296,40.296,40.296
2024-04-29,STK002,39.2873,39.2873,39.2873,39.2873
2024-04-30,STK002,39.1468,39.1468,39.1468,39.1468
2024-05-01,STK002,38.6641,38.6641,38.6641,38.6641
2024-05-02,STK002,38.8547,38.8547,38.8547,38.8547
2024-05-03,STK002,38.7959,38.7959,38.7959,38.7959
2024-05-06,STK002,38.567,38.567,38.567,38.567
2024-05-07,STK002,38.6878,38.6878,38.6878,38.6878
2024-05-08,STK002,38.6131,38.6131,38.6131,38.6131
2024-05-09,STK002,38.8104,38.8104,38.8104,38.8104
2024-05-10,STK002,39.2821,39.2821,39.2821,39.2821
2024-05-13,STK002,39.7856,39.7856,39.7856,39.7856
2024-05-14,STK002,40.2839,40.2839,40.2839,40.2839
2024-05-15,STK002,39.8673,39.8673,39.8673,39.8673
2024-05-16,STK002,40.7602,40.7602,40.7602,40.7602
2024-05-17,STK002,41.7139,41.7139,41.7139,41.7139
2024-05-20,STK002,42.1072,42.1072,42.1072,42.1072
2024-05-21,STK002,41.9621,41.9621,41.9621,41.9621
2024-05-22,STK002,41.7204,41.7204,41.7204,41.7204
2024-05-23,STK002,41.2456,41.2456,41.2456,41.2456
2024-05-24,STK002,40.999,40.999,40.999,40.999
2024-05-27,STK002,42.1378,42.1378,42.1378,42.1378
2024-05-28,STK002,41.4814,41.4814,41.4814,41.4814
2024-05-29,STK002,41.4346,41.4346,41.4346,41.4346
2024-05-30,STK002,41.073,41.073,41.073,41.073
2024-05-31,STK002,40.3302,40.3302,40.3302,40.3302
2024-06-03,STK002,40.1495,40.1495,40.1495,40.1495
2024-06-04,STK002,39.8973,39.8973,39.8973,39.8973
2024-06-05,STK002,40.5093,40.5093,40.5093,40.5093
2024-06-06,STK002,41.0045,41.0045,41.0045,41.0045
2024-06-07,STK002,41.3062,41.3062,41.3062,41.3062
